年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2016,花蓮縣,花蓮市,民樂里,一般住宅/非核心商業區,否,否,12,1,7,58.33,31997000,2666416,冷凍、通風、空調系統裝修工程,178442.36
2016,花蓮縣,花蓮市,民權里,一般住宅/非核心商業區,否,否,14,1,8,57.14,27694000,1978142,其他殯葬及寵物生命紀念相關服務,193692.13
2016,花蓮縣,花蓮市,民治里,一般住宅/非核心商業區,否,否,2,0,0,0.0,70000,35000,畜肉零售,80.79
2016,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,216,11,81,37.5,347833000,1610337,服裝零售,2038959.15
2016,花蓮縣,花蓮市,民立里,一般住宅/非核心商業區,否,否,50,2,35,70.0,248510140,4970202,醫療耗材零售,994383.82
2016,花蓮縣,花蓮市,民運里,一般住宅/非核心商業區,否,否,120,4,48,40.0,372119000,3100991,麵店、小吃店,1399857.4
2017,花蓮縣,花蓮市,主信里,一般住宅/非核心商業區,否,否,66,5,33,50.0,122960000,1863030,麵店、小吃店,795485.92
2017,花蓮縣,花蓮市,主力里,金三角商圈,是,否,192,5,112,58.33,424017000,2208421,美髮院及髮廊,2707480.57
2017,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,91,7,42,46.15,83029000,912406,未分類其他服飾品零售,928536.66
2017,花蓮縣,花蓮市,主和里,一般住宅/非核心商業區,否,否,130,7,67,51.54,207426500,1595588,麵店、小吃店,1566861.41
2017,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,101,6,46,45.54,1115395000,11043514,服裝零售,2186932.56
2017,花蓮縣,花蓮市,主學里,金三角商圈,是,否,110,7,49,44.55,163247000,1484063,麵店、小吃店,1159100.63
2017,花蓮縣,花蓮市,主安里,金三角商圈,是,否,103,5,50,48.54,270259000,2623873,麵店、小吃店,1301162.06
