年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2022,花蓮縣,花蓮市,主計里,金三角商圈,是,否,100,7,38,38.0,194636000,1946360,民宿,855459.0
2022,花蓮縣,花蓮市,國威里,金三角商圈,是,否,230,11,113,49.13,520241001,2261917,麵店、小吃店,2474861.82
2022,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,436,5,34,7.8,178598900,409630,餐食攤販,770656.67
2022,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,119,8,55,46.22,590973350,4966162,麵店、小吃店,1602672.58
2022,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,277,11,97,35.02,380880880,1375021,服裝零售,2047005.4
2023,花蓮縣,花蓮市,主力里,金三角商圈,是,否,282,18,148,52.48,503155000,1784237,餐廳,2979681.22
2023,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,136,15,60,44.12,95756000,704088,餐廳,1077783.87
2023,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,153,16,63,41.18,1124116000,7347163,服裝零售,2363024.85
2023,花蓮縣,花蓮市,主學里,金三角商圈,是,否,163,15,65,39.88,234156000,1436539,麵店、小吃店,1324494.15
2023,花蓮縣,花蓮市,主安里,金三角商圈,是,否,146,13,69,47.26,294626999,2017993,麵店、小吃店,1461413.09
2023,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,128,7,61,47.66,263890888,2061647,麵店、小吃店,1296092.4
2023,花蓮縣,花蓮市,主計里,金三角商圈,是,否,107,7,41,38.32,196181000,1833467,民宿,893774.46
2023,花蓮縣,花蓮市,國威里,金三角商圈,是,否,240,10,115,47.92,526962001,2195675,麵店、小吃店,2478896.45
2023,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,438,2,34,7.76,178798900,408216,餐食攤販,760561.73
2023,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,126,7,58,46.03,591858350,4697288,麵店、小吃店,1642505.97
2023,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,291,14,100,34.36,382898880,1315803,服裝零售,2064941.82
2024,花蓮縣,花蓮市,主力里,金三角商圈,是,否,300,18,159,53.0,509932000,1699773,餐廳,3085203.61
2024,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,142,6,63,44.37,97802000,688746,餐廳,1094754.93
2024,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,169,16,69,40.83,1129856000,6685538,服裝零售,2451698.94
2024,花蓮縣,花蓮市,主學里,金三角商圈,是,否,173,10,70,40.46,243036000,1404832,麵店、小吃店,1380971.18
2024,花蓮縣,花蓮市,主安里,金三角商圈,是,否,151,5,74,49.01,301066999,1993821,麵店、小吃店,1513951.75
2024,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,139,11,66,47.48,275890888,1984826,麵店、小吃店,1359310.34
2024,花蓮縣,花蓮市,主計里,金三角商圈,是,否,113,6,44,38.94,202256000,1789876,民宿,928656.48
2024,花蓮縣,花蓮市,國威里,金三角商圈,是,否,260,20,121,46.54,532931001,2049734,麵店、小吃店,2525299.85
2024,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,455,17,39,8.57,184759900,406065,餐食攤販,829848.63
2024,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,132,6,60,45.45,594209350,4501585,麵店、小吃店,1656342.48
2024,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,314,23,109,34.71,422611023,1345894,服裝零售,2204469.22
2025,花蓮縣,花蓮市,主力里,金三角商圈,是,否,314,14,166,52.87,524178000,1669356,餐廳,3129203.19
2025,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,152,10,66,43.42,98952000,651000,餐廳,1107905.02
2025,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,184,15,75,40.76,1132055999,6152478,餐廳,2528054.73
2025,花蓮縣,花蓮市,主學里,金三角商圈,是,否,182,9,70,38.46,244476000,1343274,麵店、小吃店,1348714.79
2025,花蓮縣,花蓮市,主安里,金三角商圈,是,否,160,9,82,51.25,304446999,1902793,麵店、小吃店,1602402.69
2025,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,145,6,69,47.59,277168888,1911509,麵店、小吃店,1374486.08
2025,花蓮縣,花蓮市,主計里,金三角商圈,是,否,123,10,49,39.84,204601000,1663422,民宿,985756.49
2025,花蓮縣,花蓮市,國威里,金三角商圈,是,否,272,12,126,46.32,535436001,1968514,麵店、小吃店,2546401.61
2025,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,475,20,42,8.84,186215900,392033,餐食攤販,858430.78
2025,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,141,9,62,43.97,610352350,4328740,麵店、小吃店,1684744.83
2025,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,329,15,113,34.35,424384023,1289921,服裝零售,2214214.74
2026,花蓮縣,花蓮市,主力里,金三角商圈,是,否,324,10,171,52.78,525927999,1623234,餐廳,3189300.22
2026,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,159,7,69,43.4,99828000,627849,餐廳,1144115.49
2026,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,194,10,77,39.69,1138135999,5866680,餐廳,2581281.6
2026,花蓮縣,花蓮市,主學里,金三角商圈,是,否,193,11,75,38.86,255465999,1323658,麵店、小吃店,1430320.18
2026,花蓮縣,花蓮市,主安里,金三角商圈,是,否,168,8,86,51.19,305674999,1819494,麵店、小吃店,1656288.09
2026,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,146,1,70,47.95,277368888,1899786,麵店、小吃店,1384432.98
2026,花蓮縣,花蓮市,主計里,金三角商圈,是,否,133,10,57,42.86,205511000,1545195,民宿,1101472.76
2026,花蓮縣,花蓮市,國威里,金三角商圈,是,否,285,13,131,45.96,537104001,1884575,麵店、小吃店,2613772.81
2026,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,498,23,44,8.84,188376900,378266,餐食攤販,888041.76
2026,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,146,5,64,43.84,610562350,4181933,麵店、小吃店,1719312.39
2026,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,339,10,116,34.22,425685023,1255708,服裝零售,2251061.95
