年份,縣市,鄉鎮市區,里別,是否為金三角商圈,是否為東大門/歷史夜市周邊,存續營利事業累積家數,該年新設家數,開立發票店家數,登記資本總額(元),平均資本額(元),申報體系推估銷售額(千元),夜市與觀光實質現金金流增額(千元),綜合推估實質商圈消費總額(千元)
1999,花蓮縣,花蓮市,主和里,否,否,41,1,17,81252000,1981756,636076.2,0.0,636076.2
1999,花蓮縣,花蓮市,主商里,是,是,42,1,23,1042654000,24825095,1776031.29,0.0,1776031.29
1999,花蓮縣,花蓮市,主學里,是,否,36,1,18,77640000,2156666,665256.27,0.0,665256.27
1999,花蓮縣,花蓮市,主安里,是,否,34,2,16,135787000,3993735,656876.41,0.0,656876.41
1999,花蓮縣,花蓮市,主工里,是,是,27,4,12,16727000,619518,409119.73,0.0,409119.73
1999,花蓮縣,花蓮市,主權里,否,否,70,8,41,161662000,2309457,1500402.39,0.0,1500402.39
1999,花蓮縣,花蓮市,主睦里,否,否,37,3,14,83467000,2255864,540074.6,0.0,540074.6
1999,花蓮縣,花蓮市,主義里,否,否,14,1,4,4510000,322142,135327.31,0.0,135327.31
1999,花蓮縣,花蓮市,主計里,是,否,18,2,4,57726000,3207000,187558.14,0.0,187558.14
1999,花蓮縣,花蓮市,主農里,否,否,44,5,21,49516000,1125363,735828.52,0.0,735828.52
1999,花蓮縣,花蓮市,國光里,否,否,33,1,14,36794000,1114969,494265.64,0.0,494265.64
1999,花蓮縣,花蓮市,國威里,是,否,50,6,27,360260000,7205200,1237171.02,0.0,1237171.02
1999,花蓮縣,花蓮市,國安里,否,否,30,2,13,47092000,1569733,471647.8,0.0,471647.8
1999,花蓮縣,花蓮市,國富里,否,否,88,9,45,113794900,1293123,1584322.23,0.0,1584322.23
1999,花蓮縣,花蓮市,國強里,否,否,21,1,15,75615000,3600714,565093.16,0.0,565093.16
1999,花蓮縣,花蓮市,國慶里,否,否,20,3,14,2490978745,124548937,2903016.9,0.0,2903016.9
1999,花蓮縣,花蓮市,國治里,否,否,31,2,14,57964400,1869819,515044.12,0.0,515044.12
1999,花蓮縣,花蓮市,國盛里,否,否,47,4,26,127345000,2709468,975842.69,0.0,975842.69
1999,花蓮縣,花蓮市,國福里,否,否,8,0,5,11243000,1405375,174660.86,0.0,174660.86
1999,花蓮縣,花蓮市,國聯里,否,否,116,10,71,1549358840,13356541,3844165.26,0.0,3844165.26
1999,花蓮縣,花蓮市,國興里,否,否,23,2,9,154120000,6700869,445793.63,0.0,445793.63
1999,花蓮縣,花蓮市,國華里,否,否,31,1,16,42083000,1357516,564907.12,0.0,564907.12
1999,花蓮縣,花蓮市,國裕里,否,否,71,1,44,978967410,13788273,2400752.9,0.0,2400752.9
1999,花蓮縣,花蓮市,國防里,否,否,14,1,9,18902000,1350142,313078.87,0.0,313078.87
1999,花蓮縣,花蓮市,國風里,否,否,50,4,30,122206000,2444120,1101699.63,0.0,1101699.63
1999,花蓮縣,花蓮市,國魂里,否,否,31,3,20,797492300,25725558,1437232.59,0.0,1437232.59
1999,花蓮縣,花蓮市,市區其他未標示里,否,否,65,3,0,269290,4142,264.3,0.0,264.3
1999,花蓮縣,花蓮市,民主里,是,是,19,2,2,106495000,5605000,169973.89,0.0,169973.89
1999,花蓮縣,花蓮市,民享里,否,否,23,2,12,69032000,3001391,460456.43,0.0,460456.43
1999,花蓮縣,花蓮市,民勤里,否,否,26,0,16,80576400,3099092,602687.91,0.0,602687.91
1999,花蓮縣,花蓮市,民孝里,否,否,48,5,24,260717000,5431604,1041295.22,0.0,1041295.22
1999,花蓮縣,花蓮市,民德里,否,否,18,1,8,25642000,1424555,286968.89,0.0,286968.89
1999,花蓮縣,花蓮市,民心里,否,否,94,4,88,1774337500,18875930,4621307.36,0.0,4621307.36
1999,花蓮縣,花蓮市,民意里,否,否,14,0,9,241870000,17276428,531919.14,0.0,531919.14
1999,花蓮縣,花蓮市,民政里,否,否,34,2,20,114071848,3355054,766464.07,0.0,766464.07
1999,花蓮縣,花蓮市,民族里,是,是,39,1,14,297551000,7629512,750195.33,0.0,750195.33
1999,花蓮縣,花蓮市,民有里,否,否,4,1,1,156000,39000,32878.31,0.0,32878.31
1999,花蓮縣,花蓮市,民樂里,否,否,4,0,1,20133000,5033250,52485.48,0.0,52485.48
1999,花蓮縣,花蓮市,民權里,否,否,6,1,2,2061000,343500,67473.24,0.0,67473.24
1999,花蓮縣,花蓮市,民治里,否,否,0,0,0,0,0,0.0,0.0,0.0
1999,花蓮縣,花蓮市,民生里,是,是,86,1,25,88990000,1034767,905472.55,0.0,905472.55
1999,花蓮縣,花蓮市,民立里,否,否,16,3,12,80732000,5045750,471939.83,0.0,471939.83
1999,花蓮縣,花蓮市,民運里,否,否,53,0,21,294440000,5555471,976218.32,0.0,976218.32
2000,花蓮縣,花蓮市,主信里,否,否,35,2,14,90260000,2578857,543882.53,0.0,543882.53
2000,花蓮縣,花蓮市,主力里,是,否,85,5,52,230427000,2710905,1915472.72,0.0,1915472.72
2000,花蓮縣,花蓮市,主勤里,是,否,37,2,19,70103000,1894675,685814.56,0.0,685814.56
2000,花蓮縣,花蓮市,主和里,否,否,43,2,19,86452000,2010511,702138.29,0.0,702138.29
2000,花蓮縣,花蓮市,主商里,是,是,45,3,25,1043104000,23180088,1851780.87,32400.0,1884180.87
2000,花蓮縣,花蓮市,主學里,是,否,36,0,18,77640000,2156666,660928.34,0.0,660928.34
2000,花蓮縣,花蓮市,主安里,是,否,35,1,16,135987000,3885342,654361.99,0.0,654361.99
2000,花蓮縣,花蓮市,主工里,是,是,31,4,15,42257000,1363129,528365.31,0.0,528365.31
2000,花蓮縣,花蓮市,主權里,否,否,75,5,44,172052000,2294026,1597895.35,0.0,1597895.35
2000,花蓮縣,花蓮市,主睦里,否,否,41,4,18,123877000,3021390,707093.86,0.0,707093.86
2000,花蓮縣,花蓮市,主義里,否,否,14,0,4,4510000,322142,134149.33,0.0,134149.33
2000,花蓮縣,花蓮市,主計里,是,否,18,0,4,57726000,3207000,187283.06,0.0,187283.06
2000,花蓮縣,花蓮市,主農里,否,否,46,2,21,49569000,1077586,730135.46,0.0,730135.46
2000,花蓮縣,花蓮市,國光里,否,否,34,1,14,36797000,1082264,490502.17,0.0,490502.17
2000,花蓮縣,花蓮市,國威里,是,否,55,5,30,361483000,6572418,1333271.46,0.0,1333271.46
2000,花蓮縣,花蓮市,國安里,否,否,30,0,13,47092000,1569733,468369.68,0.0,468369.68
2000,花蓮縣,花蓮市,國富里,否,否,93,5,48,166800900,1793558,1722298.67,0.0,1722298.67
2000,花蓮縣,花蓮市,國強里,否,否,23,2,17,78665000,3420217,629540.18,0.0,629540.18
2000,花蓮縣,花蓮市,國慶里,否,否,21,1,15,2491978745,118665654,2974300.08,0.0,2974300.08
2000,花蓮縣,花蓮市,國治里,否,否,32,1,15,63964400,1998887,550039.15,0.0,550039.15
2000,花蓮縣,花蓮市,國盛里,否,否,50,3,27,131000000,2620000,1005910.03,0.0,1005910.03
2000,花蓮縣,花蓮市,國福里,否,否,8,0,5,11243000,1405375,173283.5,0.0,173283.5
2000,花蓮縣,花蓮市,國聯里,否,否,120,4,73,1550441840,12920348,3914090.06,0.0,3914090.06
2000,花蓮縣,花蓮市,國興里,否,否,27,4,12,154875000,5736111,543574.49,0.0,543574.49
2000,花蓮縣,花蓮市,國華里,否,否,31,0,16,42083000,1357516,560603.15,0.0,560603.15
2000,花蓮縣,花蓮市,國裕里,否,否,77,6,48,1010970410,13129485,2565163.2,0.0,2565163.2
2000,花蓮縣,花蓮市,國防里,否,否,14,0,9,18902000,1350142,310576.96,0.0,310576.96
2000,花蓮縣,花蓮市,國風里,否,否,54,4,32,147389000,2729425,1184331.57,0.0,1184331.57
